message_id,timestamp,price,price_normalized,bedrooms,bathrooms,area,location,is_sale,raw_text
697327,2025-03-10T11:35:10+00:00,,,,,,,False,"**Добро пожаловать в CypRus Барахолка! 🌞**

** **[**LavroTech.Store**](tg://user?id=8033160140)**, пожалуйста пройдите проверку для того чтобы мы убедились что вы не БОТ👇**

**Подпишитесь на FAQ | NEWS о Кипре: ****@cyprusfaq**** и нажмите**
**на кнопку 👇**"
697188,2025-03-10T09:11:23+00:00,,,,,,,False,"Ищу соседку, Лимассол. Локация квартиры возле зоопарка, до пляжа 5 минут пешком. Квартира полностью всем необходимым укомплектована.
Цена  500 + залог"
697177,2025-03-10T09:05:56+00:00,,,,,,,False,"Ищем арендаторов, кто оказывает медицинские, массажные, консультационные услуги. Лимассол, Гермасойа"
697008,2025-03-10T07:52:21+00:00,,,,,,,False,"💳** Pintopay – платите криптовалютой везде! ** 

Хотите** использовать криптовалюту в повседневной жизни **так же легко, как обычные деньги? 🚀  
**
Pintopay **– это инновационная платформа, которая делает** криптовалютные платежи простыми и удобными!**  

✔️ **Верификация по паспорту **не требуется.
✔️** Виртуальные и физические карты **– оплачивайте покупки криптовалютой по всему миру.  
✔️** Моментальная конвертация **– легко меняйте крипто в фиат в мобильном приложении.  
✔️** Полная совместимость с Apple Pay / Google Pay **– платите** в один клик!**  
✔️** Анонимность и безопасность **– ваши финансы под защитой.  
✔️** Дополнительный доход **– получайте кэшбэк и бонусы с транзакций.


💸** Криптовалюта = реальные деньги! **С** Pintopay **вы сможете тратить её без ограничений!  

📲** Присоединяйтесь сейчас **и откройте новые возможности"
696610,2025-03-09T16:17:32+00:00,,,,,,,False,"#АРЕНДА (длит) - зх спальная квартира    
▪️ЛИМАСОЛ/Меса Гетония 
▪️Площадь 117м2   
▪️2-й этаж
▪️2 WC (ванная и душевая)
▪️Большие встроенные шкафы в спальнях 
▪️Мебель и вся необходимая бытовая техника
▪️Солнечные панели для горячей воды 
▪️Крытая парковка  
▪️Кладовка 
▪️Развитая инфраструктура района
▪️Пешая доступность до моря и всех удобств
▪️ Готова к заселению!
▪️Цена 2.500€/мес  
☎️95570105
R.1029"
696232,2025-03-09T08:33:11+00:00,10,10.0,,,,,False,"АРЕНДА
ЛИМАССОЛ
Гермасоя
Пляж в 800м
Роскошная вилла
5 спален, дом: 450м2
Участок: 1500м2
€10 000

99933140  
CEOSO LTD
R1256/L258"
696022,2025-03-08T19:12:44+00:00,"290,000",290000.0,,,,,True,"#ПРОДАЖА – земельный участок под застройку!
▪️ЛИМАСОЛ / ИПСОНАС   
▪️Площадь участка 524м2 
▪️Участок угловой, ровный, прямоугольной формы
▪️Все необходимые коммуникации есть 
▪️Плотность застройки 90%
▪️Тихий спокойный район
▪️На участке есть здание
ЕСТЬ Видео обзор
▪️Титул!
▪️Цена - €290,000 евро. 
95570105
R.1029"
695875,2025-03-08T16:57:48+00:00,4000,4000.0,,,,,False,"Фитнес-зал в аренду
€4000
Лимассол, Kapsalos


80 м2
Раздевалки
Парковка

Reg:1234|Lic:603/E ID: 5654183"
695556,2025-03-08T10:08:33+00:00,,,,,,,False,[Дарья М.](tg://user?id=5721374891) забанил [Дарья М.](tg://user?id=5721374891) на 1440 минут
695525,2025-03-08T09:43:21+00:00,,,,,,,False,Видео от Elena
695438,2025-03-08T06:27:52+00:00,,,,,,,False,Rent New Flat in Larnaka
695429,2025-03-08T06:06:04+00:00,,,,,,,False,"К маю ищу квартиру до 1400

1-2 комнаты 

Недалеко от моря, с хорошим ремонтом и деревянными полами

гермасойя-неаполис"
695248,2025-03-07T18:50:09+00:00,,,,,,,True,"Продажа 2-х зем. уч.,
Лимассол,Суни, 1634м2
Подк. вода, электр., центр. кан.
💶280.000€
RN186LN56
+357 99 324109 Joulia"
695185,2025-03-07T18:03:51+00:00,,,,,,,False,С 1.мая ищу однушку или просторную студию.бюджет 800.лимассол
695013,2025-03-07T14:53:31+00:00,1200,1200.0,,,,,False,"**АГИОС ТИХОНАС
**Напротив PUESTA BAR
300 метров до моря 
Будет** ЗАКУПЛЕН 
НОВЫЙ ДИВАН И КРОВАТЬ

1200 евро+депозит
**Рег. No 186/ лиц.No 56"
694093,2025-03-06T17:31:54+00:00,800,800.0,,,,,False,Добрый вечер. Очень срочно нужна квартира в Ларнаке. Семья из двух человек и очень культурный кот. Бюджет 700-800 евро.
694014,2025-03-06T15:19:20+00:00,60,60.0,,,,,False,ищем квартиру для 2 человек в Лимассоле на краткосрочную аренду 17 марта - 6 апреля (район Гермассоя). бюджет 60 евро / сутки
